fecha|nivel|trade_type|price|amount|profit|volatility|rsi|stochrsi_k|stochrsi_d|description
2025-02-23 11:22:14,446|INFO|buy|95677.89|0.00522|0|0.16737283947362122|34.854240697759224|0.23901337867129338|0.17246800145248095|BUY
2025-02-23 11:52:15,935|INFO|buy|95491.99|0.00497|0|0.2584018247216528|30.4916597804245|0.1773611324583347|0.15191725271482806|BUY
2025-02-23 13:56:19,837|INFO|buy|95678.17|0.00471|0|0.51962294231672|37.81842155679295|0.15237250786775094|0.13275542717734803|BUY
2025-02-23 14:58:21,928|INFO|buy|95726.85|0.00447|0|0.8532065523001496|39.536673536341034|0.28322921747450086|0.16394954604045675|BUY
2025-02-23 16:31:25,265|INFO|buy|95725.96|0.00425|0|0.12640462492215224|39.43319265216813|0.49122658702711136|0.4153018836610421|BUY
2025-02-23 17:33:27,495|INFO|buy|95688.0|0.00404|0|0.12976928755941564|38.78537776129595|0.5494556545216058|0.4999915274109597|BUY
2025-02-23 18:35:30,141|INFO|buy|95652.0|0.00384|0|0.28195848936918716|37.928169833335424|0.6065359333282043|0.5539181786751071|BUY
2025-02-24 13:58:17,879|INFO|buy|94651.26|0.00368|0|47.81685769369294|35.92319046855897|0.1675160397824631|0.11990361404379264|BUY
2025-02-24 14:29:19,423|INFO|buy|94550.96|0.0035|0|0.5659825513113065|34.338807884565014|0.25460167533880235|0.14990533383918467|BUY
2025-02-24 15:00:21,649|INFO|buy|94161.67|0.00334|0|0.0028143083258435697|30.38353645492434|0.19114360054112886|0.17907978379917175|BUY
2025-02-24 15:31:22,712|INFO|buy|94413.28|0.00317|0|0.539317055515579|35.56403329372486|0.27120748867542627|0.20576774651060417|BUY
2025-02-24 17:35:27,063|INFO|buy|94272.78|0.00301|0|0.9929390551311609|35.63032029138677|0.15786868237114848|0.13180052109049414|BUY
2025-02-24 19:08:30,097|INFO|buy|92683.37|0.00291|0|0.7093305935135894|22.71132732826932|0.06661705671435221|0.05963299805927985|BUY
2025-02-24 20:41:34,371|INFO|buy|91781.24|0.00279|0|1.2054477191344877|20.596998529733|0.05536120108783358|0.0427302910661008|BUY
2025-02-24 21:12:35,359|INFO|buy|91213.98|0.00267|0|0.827773573400267|18.93999161629891|0.10305712643354446|0.06293330121032803|BUY
2025-02-24 21:43:36,969|INFO|buy|92317.02|0.00251|0|1.4484485846976414|28.93043475885102|0.19958991028433962|0.09511089582725973|BUY
2025-02-24 22:14:38,601|INFO|buy|91994.72|0.00239|0|0.8707046763290588|24.2687874599019|0.23776063938260125|0.14544538315603053|BUY
2025-02-24 22:45:40,212|INFO|buy|92305.37|0.00226|0|0.9629752976374981|29.240593022672513|0.2916305796246812|0.16340202990339053|BUY
2025-02-24 23:16:42,390|INFO|buy|92249.96|0.00215|0|0.297551561490559|29.367952861449965|0.45942046933234604|0.292488298627698|BUY
2025-02-24 23:47:44,136|INFO|buy|92398.41|0.00204|0|0.5487237162606984|30.820647016357142|0.4828308382972844|0.3002917549493441|BUY
2025-02-25 00:18:45,883|INFO|buy|92311.38|0.00194|0|0.5255767110469021|30.527369845458068|0.6560612127031079|0.4729557606371572|BUY
2025-02-25 00:49:47,466|INFO|buy|91921.8|0.00185|0|0.7634932995882772|27.030406135473754|0.598843039771896|0.4538830363267532|BUY
2025-02-25 01:20:49,185|INFO|buy|92090.48|0.00175|0|0.6066142513740043|29.466467135744296|0.6711960552790383|0.5721684563561822|BUY
2025-02-25 01:51:51,418|INFO|buy|91965.51|0.00167|0|0.6127029001430059|27.414418361316493|0.6383410266367684|0.5612167801420922|BUY
2025-02-25 08:04:06,691|INFO|buy|89170.01|0.00163|0|0.23070983621437036|27.291738922907342|0.586352926131703|0.3171322167971797|BUY
2025-02-25 08:35:08,277|INFO|buy|89110.72|0.00155|0|1.216973681014939|27.04336563290785|0.5810616156554059|0.31536844663841396|BUY
2025-02-25 09:06:09,943|INFO|buy|89112.83|0.00148|0|0.301456519454667|26.964690393019467|0.8892486845420784|0.602050102716386|BUY
2025-02-25 09:37:11,482|INFO|buy|88969.85|0.0014|0|0.5870439612619898|26.34434553250189|0.8759709826222121|0.5976242020764305|BUY
2025-02-25 10:08:13,020|INFO|buy|88790.18|0.00134|0|0.2956590751839121|25.28839607040804|0.8473251180774602|0.8001233298575171|BUY
2025-02-25 10:39:14,619|INFO|buy|88621.94|0.00127|0|4.510266756040022|24.58947560485933|0.8319432141317611|0.794996028542284|BUY
2025-02-25 13:14:19,560|INFO|buy|87620.05|0.00122|0|0.5600798865854949|25.04084199347261|0.6381494212901607|0.5661323449955922|BUY
2025-02-25 13:45:21,138|INFO|buy|87171.81|0.00117|0|1.0374579018957442|22.38480596357671|0.5769599630579635|0.5457358589181931|BUY
2025-02-25 14:16:22,710|INFO|buy|87438.83|0.00111|0|0.6590896011046299|25.28364904125374|0.7051806078720878|0.5935146479870862|BUY
2025-02-25 14:47:24,315|INFO|buy|87387.98|0.00105|0|1.331237178477431|24.672908435037726|0.6911644501551616|0.5888425954147776|BUY
2025-02-25 15:49:26,844|INFO|buy|87617.15|0.001|0|66.18740854340284|28.875096696084654|0.7371841473858968|0.6437016273759535|BUY
2025-02-25 16:20:28,474|INFO|buy|88071.97|0.00094|0|77.25608256173655|33.5085360242537|0.8681901630882854|0.7562386583200714|BUY
2025-02-25 16:51:30,724|INFO|buy|88175.67|0.00089|0|78.26219767730008|34.59170950490184|0.8681901630882854|0.7562386583200714|BUY
2025-02-25 17:22:32,376|INFO|buy|88261.02|0.00085|0|0.7237090735744419|35.423086484095606|0.9989669314581469|0.8739657192927094|BUY
2025-02-25 17:53:33,991|INFO|buy|88665.83|0.0008|0|77.71145074419098|39.4614003997914|1.0|0.8743100754733272|BUY
2025-02-26 10:26:05,556|INFO|sell|85560.0|0.00522|-52.815385799999994|4.766269845687025|26.428907846498547|0.011976982030538603|0.23638716811348212|STOP LOSS
2025-02-26 10:26:05,903|INFO|sell|85560.0|0.00497|-49.36199030000002|4.766269845687025|26.428907846498547|0.011976982030538603|0.23638716811348212|STOP LOSS
2025-02-26 10:26:06,802|INFO|sell|85560.0|0.00471|-47.65658069999999|4.766269845687025|26.428907846498547|0.011976982030538603|0.23638716811348212|STOP LOSS
2025-02-26 10:26:07,147|INFO|sell|85560.0|0.00447|-45.44581950000003|4.766269845687025|26.428907846498547|0.011976982030538603|0.23638716811348212|STOP LOSS
2025-02-26 10:26:07,547|INFO|sell|85560.0|0.00425|-43.20533000000003|4.766269845687025|26.428907846498547|0.011976982030538603|0.23638716811348212|STOP LOSS
2025-02-26 10:26:07,893|INFO|sell|85560.0|0.00404|-40.917120000000004|4.766269845687025|26.428907846498547|0.011976982030538603|0.23638716811348212|STOP LOSS
2025-02-26 10:26:08,238|INFO|sell|85560.0|0.00384|-38.753280000000004|4.766269845687025|26.428907846498547|0.011976982030538603|0.23638716811348212|STOP LOSS
2025-02-26 11:58:11,086|INFO|buy|87551.15|0.00231|0|7.244763467713172|39.03480169556555|0.18026224598022847|0.16445674005905278|BUY
2025-02-26 12:29:12,618|INFO|buy|86828.43|0.00221|0|8.018838402803855|34.00140712023702|0.1815194252950656|0.1600171488959382|BUY
2025-02-26 13:00:14,779|INFO|buy|86898.16|0.0021|0|12.144984024566627|34.42665809553195|0.18792882153068016|0.16215361430780972|BUY
